,id,ad_creation_time,ad_creative_bodies,ad_snapshot_url,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,delivery_by_region,demographic_distribution,impressions,page_id,page_name,publisher_platforms,elecciones,electorales,lower_bound,upper_bound
0,1789519624556580,2021-04-09,"['Desde el Congreso de la República impulsaré un nuevo CTS para todos, no debe faltar comida, trabajo y salud a nuestras familias peruanas.\n\nEste 11 de abril marca las #lampas de Acción Popular y escribe el 1️⃣ por un Perú mejor 🇵🇪\n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",https://www.facebook.com/ads/archive/render_ad/?id=1789519624556580&access_token,2021-04-09,2021-04-11,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '200', 'upper_bound': '299'}","[{'percentage': '1', 'region': 'Lima Region'}]","[{'percentage': '0.00449', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.149778', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.088747', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.204324', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.12245', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.112472', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.084479', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.155488', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.00704', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.069623', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000554', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '5.5E-5', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000333', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000166', 'age': '25-34', 'gender': 'unknown'}]","{'lower_bound': '15000', 'upper_bound': '19999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",True,True,200,299
1,202057138300263,2021-04-09,"['Los jóvenes necesitan ser mejor preparados, mejores campos laborales y obtener mejores salarios. Acción Popular lo hará posible. \n\n¡Desde el Congreso de la República defenderé al Pueblo!\n\nEste 11 de abril marca las #Lampas y escribe el 1️⃣ por un Perú mejor 🇵🇪']",https://www.facebook.com/ads/archive/render_ad/?id=202057138300263&access_token,2021-04-09,2021-04-10,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '100', 'upper_bound': '199'}","[{'percentage': '0.756213', 'region': 'Callao'}, {'percentage': '0.243787', 'region': 'Lima Region'}]","[{'percentage': '0.000318', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.160779', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.000191', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000127', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000255', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000191', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.089619', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.123417', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.074916', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.092738', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.047101', 'age': '65+', 'gender': 'female'}, {'percentage': '0.069378', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.067723', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.063968', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.043664', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.067532', 'age': '65+', 'gender': 'male'}, {'percentage': '0.09802', 'age': '25-34', 'gender': 'female'}, {'percentage': '6.4E-5', 'age': '45-54', 'gender': 'unknown'}]","{'lower_bound': '15000', 'upper_bound': '19999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",True,True,100,199
2,4392054040822233,2021-04-09,"['La alimentación es un factor importante para el desarrollo del ser humano, además reduce los riesgos que influyen en la aparición de enfermedades. Es por ello que desde el Congreso de la República trabajaré por el incremento de presupuesto para los Vasos de Leche y Comedores Populares de todo el país. Necesitamos niños mejor alimentados y libres de anemia. \n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",https://www.facebook.com/ads/archive/render_ad/?id=4392054040822233&access_token,2021-04-09,2021-04-10,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '300', 'upper_bound': '399'}","[{'percentage': '0.620827', 'region': 'Callao'}, {'percentage': '0.379173', 'region': 'Lima Region'}]","[{'percentage': '0.000345', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.007359', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.007545', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.116283', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.123057', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.129354', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.145108', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.089158', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.125156', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.16413', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.091868', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000239', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000159', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '2.7E-5', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000213', 'age': '45-54', 'gender': 'unknown'}]","{'lower_bound': '35000', 'upper_bound': '39999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",True,True,300,399
3,491328568574481,2021-04-09,"['¡Es momento de cambiar nuestro Perú! 🇵🇪 \n\nNecesitamos personas firmes y libres de corrupción.\n\nEste 11 de abril marca las lampas de Acción Popular, Yonhy Lescano presidente y José Arriola al congreso, por un Perú mejor para todos. \n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",https://www.facebook.com/ads/archive/render_ad/?id=491328568574481&access_token,2021-04-10,2021-04-10,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '200', 'upper_bound': '299'}","[{'percentage': '0.658607', 'region': 'Callao'}, {'percentage': '0.341393', 'region': 'Lima Region'}]","[{'percentage': '0.084568', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.133386', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.194982', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.179997', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.081576', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.080966', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.137132', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.006389', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.094296', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.005634', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.000232', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000348', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '8.7E-5', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000378', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '2.9E-5', 'age': '55-64', 'gender': 'unknown'}]","{'lower_bound': '30000', 'upper_bound': '34999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",True,True,200,299
4,911295009629732,2021-04-08,"['La alimentación es un factor importante para el desarrollo del ser humano, además reduce los riesgos que influyen en la aparición de enfermedades. Es por ello que desde el Congreso de la República trabajaré por el incremento de presupuesto para los Vasos de Leche y Comedores Populares de todo el país. Necesitamos niños mejor alimentados y libres de anemia. \n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",https://www.facebook.com/ads/archive/render_ad/?id=911295009629732&access_token,2021-04-08,2021-04-09,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '300', 'upper_bound': '399'}","[{'percentage': '5.7E-5', 'region': 'Unknown'}, {'percentage': '0.640886', 'region': 'Callao'}, {'percentage': '0.359058', 'region': 'Lima Region'}]","[{'percentage': '0.000342', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000314', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.009127', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.135771', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.099489', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.139508', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.127642', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.096979', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.087937', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.174021', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.119456', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.008614', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.000342', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000456', 'age': '35-44', 'gender': 'unknown'}]","{'lower_bound': '35000', 'upper_bound': '39999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",True,True,300,399
34,2036677193151685,2021-07-26,['✅ Congresista electa por #AcciónPopular. ¡Trabajemos juntos y salgamos #Adelante! 🇵🇪'],https://www.facebook.com/ads/archive/render_ad/?id=2036677193151685&access_token,2021-07-26,2021-07-29,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","[{'percentage': '0.00563', 'region': 'Amazonas Region'}, {'percentage': '0.052115', 'region': 'Lambayeque Region'}, {'percentage': '0.008517', 'region': 'Tumbes Region'}, {'percentage': '0.017035', 'region': 'Tacna Region'}, {'percentage': '0.017468', 'region': 'San Martín Region'}, {'percentage': '0.024253', 'region': 'Puno Region'}, {'percentage': '0.041865', 'region': 'Piura Region'}, {'percentage': '0.003176', 'region': 'Pasco Region'}, {'percentage': '0.006785', 'region': 'Moquegua Region'}, {'percentage': '0.002887', 'region': 'Madre de Dios Region'}, {'percentage': '0.024397', 'region': 'Loreto Region'}, {'percentage': '0.473365', 'region': 'Lima Region'}, {'percentage': '0.062653', 'region': 'La Libertad Region'}, {'percentage': '0.033492', 'region': 'Ancash Region'}, {'percentage': '0.030461', 'region': 'Junín Region'}, {'percentage': '0.030461', 'region': 'Ica Region'}, {'percentage': '0.01588', 'region': 'Huánuco Region'}, {'percentage': '0.004475', 'region': 'Huancavelica Region'}, {'percentage': '0.020788', 'region': 'Cusco Region'}, {'percentage': '0.028728', 'region': 'Callao'}, {'percentage': '0.025408', 'region': 'Cajamarca Region'}, {'percentage': '0.014148', 'region': 'Ayacucho Region'}, {'percentage': '0.042443', 'region': 'Arequipa Region'}, {'percentage': '0.005775', 'region': 'Apurímac Region'}, {'percentage': '0.007796', 'region': 'Ucayali Region'}]","[{'percentage': '0.000578', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.10851', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.000867', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000289', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001011', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.10591', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.042335', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.074122', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.135819', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000867', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.199104', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.04927', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.03381', 'age': '65+', 'gender': 'male'}, {'percentage': '0.07181', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.102008', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.044647', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.028464', 'age': '65+', 'gender': 'female'}, {'percentage': '0.000578', 'age': '18-24', 'gender': 'unknown'}]","{'lower_bound': '9000', 'upper_bound': '9999'}",101382064633453,Maricarmen Alva,['facebook'],True,True,0,99
35,2339418786188233,2021-07-16,['✅ Congresista electa por #AcciónPopular. ¡Trabajemos juntos y salgamos #Adelante! 🇵🇪'],https://www.facebook.com/ads/archive/render_ad/?id=2339418786188233&access_token,2021-07-16,2021-07-29,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","[{'percentage': '0.004458', 'region': 'Amazonas Region'}, {'percentage': '0.016793', 'region': 'San Martín Region'}, {'percentage': '0.019319', 'region': 'Loreto Region'}, {'percentage': '0.500669', 'region': 'Lima Region'}, {'percentage': '0.055729', 'region': 'La Libertad Region'}, {'percentage': '0.029573', 'region': 'Junín Region'}, {'percentage': '0.028682', 'region': 'Ica Region'}, {'percentage': '0.021994', 'region': 'Cusco Region'}, {'percentage': '0.026155', 'region': 'Callao'}, {'percentage': '0.027939', 'region': 'Cajamarca Region'}, {'percentage': '0.042503', 'region': 'Arequipa Region'}, {'percentage': '0.006687', 'region': 'Tumbes Region'}, {'percentage': '0.025412', 'region': 'Puno Region'}, {'percentage': '0.002824', 'region': 'Madre de Dios Region'}, {'percentage': '0.04384', 'region': 'Piura Region'}, {'percentage': '0.003418', 'region': 'Pasco Region'}, {'percentage': '0.046812', 'region': 'Lambayeque Region'}, {'percentage': '0.01501', 'region': 'Huánuco Region'}, {'percentage': '0.002526', 'region': 'Huancavelica Region'}, {'percentage': '0.014564', 'region': 'Ayacucho Region'}, {'percentage': '0.006687', 'region': 'Apurímac Region'}, {'percentage': '0.026601', 'region': 'Ancash Region'}, {'percentage': '0.006687', 'region': 'Ucayali Region'}, {'percentage': '0.007282', 'region': 'Moquegua Region'}, {'percentage': '0.017833', 'region': 'Tacna Region'}]","[{'percentage': '0.000896', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000448', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000896', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000597', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000747', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.121995', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.114977', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.232641', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.066149', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.155741', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.072271', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.123339', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.029267', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.055846', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.02419', 'age': '55-64', 'gender': 'female'}]","{'lower_bound': '8000', 'upper_bound': '8999'}",101382064633453,Maricarmen Alva,['facebook'],True,True,0,99
36,332378095047154,2021-06-30,['Congresista electa por Acción Popular. Trabajemos juntos y salgamos ¡Adelante! 🇵🇪'],https://www.facebook.com/ads/archive/render_ad/?id=332378095047154&access_token,2021-06-30,2021-07-04,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","[{'percentage': '0.006637', 'region': 'Amazonas Region'}, {'percentage': '0.050147', 'region': 'Lambayeque Region'}, {'percentage': '0.0059', 'region': 'Tumbes Region'}, {'percentage': '0.014749', 'region': 'Tacna Region'}, {'percentage': '0.022124', 'region': 'San Martín Region'}, {'percentage': '0.053097', 'region': 'Puno Region'}, {'percentage': '0.087021', 'region': 'Piura Region'}, {'percentage': '0.006637', 'region': 'Pasco Region'}, {'percentage': '0.007375', 'region': 'Moquegua Region'}, {'percentage': '0.006637', 'region': 'Madre de Dios Region'}, {'percentage': '0.031711', 'region': 'Loreto Region'}, {'percentage': '0.30826', 'region': 'Lima Region'}, {'percentage': '0.066372', 'region': 'La Libertad Region'}, {'percentage': '0.04646', 'region': 'Ancash Region'}, {'percentage': '0.045723', 'region': 'Junín Region'}, {'percentage': '0.036873', 'region': 'Ica Region'}, {'percentage': '0.021386', 'region': 'Huánuco Region'}, {'percentage': '0.010324', 'region': 'Huancavelica Region'}, {'percentage': '0.024336', 'region': 'Cusco Region'}, {'percentage': '0.015487', 'region': 'Callao'}, {'percentage': '0.048673', 'region': 'Cajamarca Region'}, {'percentage': '0.020649', 'region': 'Ayacucho Region'}, {'percentage': '0.039823', 'region': 'Arequipa Region'}, {'percentage': '0.011062', 'region': 'Apurímac Region'}, {'percentage': '0.012537', 'region': 'Ucayali Region'}]","[{'percentage': '0.001488', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000744', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.03125', 'age': '65+', 'gender': 'male'}, {'percentage': '0.046875', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.124256', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.116815', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.073661', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.076637', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.043899', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.099702', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.203125', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.063988', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.087054', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.029018', 'age': '65+', 'gender': 'female'}, {'percentage': '0.000744', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000744', 'age': '25-34', 'gender': 'unknown'}]","{'lower_bound': '1000', 'upper_bound': '1999'}",101382064633453,Maricarmen Alva,['facebook'],True,True,0,99
37,4109320782479207,2021-06-30,['Congresista electa por Acción Popular. Trabajemos juntos y salgamos ¡Adelante! 🇵🇪'],https://www.facebook.com/ads/archive/render_ad/?id=4109320782479207&access_token,2021-06-30,2021-06-30,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","[{'percentage': '0.014672', 'region': 'Amazonas Region'}, {'percentage': '0.049421', 'region': 'Lambayeque Region'}, {'percentage': '0.020077', 'region': 'Tumbes Region'}, {'percentage': '0.018533', 'region': 'Tacna Region'}, {'percentage': '0.048649', 'region': 'San Martín Region'}, {'percentage': '0.061004', 'region': 'Puno Region'}, {'percentage': '0.106564', 'region': 'Piura Region'}, {'percentage': '0.010039', 'region': 'Pasco Region'}, {'percentage': '0.004633', 'region': 'Moquegua Region'}, {'percentage': '0.013127', 'region': 'Madre de Dios Region'}, {'percentage': '0.046332', 'region': 'Loreto Region'}, {'percentage': '0.093436', 'region': 'Lima Region'}, {'percentage': '0.073359', 'region': 'La Libertad Region'}, {'percentage': '0.044788', 'region': 'Ancash Region'}, {'percentage': '0.043243', 'region': 'Junín Region'}, {'percentage': '0.025483', 'region': 'Ica Region'}, {'percentage': '0.026255', 'region': 'Huánuco Region'}, {'percentage': '0.013127', 'region': 'Huancavelica Region'}, {'percentage': '0.040927', 'region': 'Cusco Region'}, {'percentage': '0.010039', 'region': 'Callao'}, {'percentage': '0.079537', 'region': 'Cajamarca Region'}, {'percentage': '0.041699', 'region': 'Ayacucho Region'}, {'percentage': '0.044015', 'region': 'Arequipa Region'}, {'percentage': '0.033205', 'region': 'Apurímac Region'}, {'percentage': '0.037838', 'region': 'Ucayali Region'}]","[{'percentage': '0.016936', 'age': '65+', 'gender': 'female'}, {'percentage': '0.006928', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.371055', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.21555', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.070054', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.075443', 'age': '65+', 'gender': 'male'}, {'percentage': '0.025404', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.091609', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.062356', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.04465', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.015396', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.004619', 'age': '45-54', 'gender': 'female'}]","{'lower_bound': '1000', 'upper_bound': '1999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']",True,True,0,99
38,326588685658664,2021-06-15,"['Congresista electa por Acción Popular. Madre y abogada con más de 20 años de experiencia en el sector público. ¡Saldremos Adelante, Perú! 🇵🇪']",https://www.facebook.com/ads/archive/render_ad/?id=326588685658664&access_token,2021-06-15,2021-06-21,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","[{'percentage': '0.009022', 'region': 'Amazonas Region'}, {'percentage': '0.02944', 'region': 'Ica Region'}, {'percentage': '0.009022', 'region': 'Ucayali Region'}, {'percentage': '0.031814', 'region': 'San Martín Region'}, {'percentage': '0.037987', 'region': 'Puno Region'}, {'percentage': '0.079772', 'region': 'Piura Region'}, {'percentage': '0.003799', 'region': 'Madre de Dios Region'}, {'percentage': '0.030864', 'region': 'Loreto Region'}, {'percentage': '0.348053', 'region': 'Lima Region'}, {'percentage': '0.067426', 'region': 'Lambayeque Region'}, {'percentage': '0.052232', 'region': 'La Libertad Region'}, {'percentage': '0.037512', 'region': 'Junín Region'}, {'percentage': '0.020418', 'region': 'Huánuco Region'}, {'percentage': '0.003799', 'region': 'Huancavelica Region'}, {'percentage': '0.028015', 'region': 'Cusco Region'}, {'percentage': '0.023267', 'region': 'Callao'}, {'percentage': '0.036087', 'region': 'Cajamarca Region'}, {'percentage': '0.018993', 'region': 'Ayacucho Region'}, {'percentage': '0.043685', 'region': 'Arequipa Region'}, {'percentage': '0.007597', 'region': 'Apurímac Region'}, {'percentage': '0.043685', 'region': 'Ancash Region'}, {'percentage': '0.009972', 'region': 'Tumbes Region'}, {'percentage': '0.014245', 'region': 'Tacna Region'}, {'percentage': '0.005698', 'region': 'Pasco Region'}, {'percentage': '0.007597', 'region': 'Moquegua Region'}]","[{'percentage': '0.000476', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000953', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000953', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.057646', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.10243', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.093378', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.175798', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.122439', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.138637', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.042401', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.05717', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.104335', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.101477', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000953', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000953', 'age': '25-34', 'gender': 'unknown'}]","{'lower_bound': '3000', 'upper_bound': '3999'}",101382064633453,Maricarmen Alva,['facebook'],True,True,0,99
39,508226736874546,2021-05-21,['Congresista electa por Acción Popular. ¡Luchemos juntos para que el Perú salga #Adelante! 🇵🇪'],https://www.facebook.com/ads/archive/render_ad/?id=508226736874546&access_token,2021-05-26,2021-05-30,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","[{'percentage': '0.006826', 'region': 'Amazonas Region'}, {'percentage': '0.047782', 'region': 'Ancash Region'}, {'percentage': '0.300341', 'region': 'Lima Region'}, {'percentage': '0.075085', 'region': 'Lambayeque Region'}, {'percentage': '0.061433', 'region': 'La Libertad Region'}, {'percentage': '0.044369', 'region': 'Junín Region'}, {'percentage': '0.006826', 'region': 'Huancavelica Region'}, {'percentage': '0.030717', 'region': 'Callao'}, {'percentage': '0.037543', 'region': 'Cajamarca Region'}, {'percentage': '0.020478', 'region': 'Ayacucho Region'}, {'percentage': '0.040956', 'region': 'Arequipa Region'}, {'percentage': '0.020478', 'region': 'Cusco Region'}, {'percentage': '0.010239', 'region': 'Huánuco Region'}, {'percentage': '0.006826', 'region': 'Pasco Region'}, {'percentage': '0.003413', 'region': 'Apurímac Region'}, {'percentage': '0.010239', 'region': 'Ucayali Region'}, {'percentage': '0.020478', 'region': 'Tumbes Region'}, {'percentage': '0.020478', 'region': 'Tacna Region'}, {'percentage': '0.020478', 'region': 'San Martín Region'}, {'percentage': '0.054608', 'region': 'Puno Region'}, {'percentage': '0.013652', 'region': 'Moquegua Region'}, {'percentage': '0.044369', 'region': 'Loreto Region'}, {'percentage': '0.037543', 'region': 'Ica Region'}, {'percentage': '0.064846', 'region': 'Piura Region'}]","[{'percentage': '0.05137', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.05137', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.065068', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.119863', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.085616', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.092466', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.092466', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.05137', 'age': '65+', 'gender': 'male'}, {'percentage': '0.188356', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.065068', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.085616', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.05137', 'age': '65+', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '999'}",101382064633453,Maricarmen Alva,['facebook'],True,True,0,99
40,270013071239231,2021-04-09,"['🚨 ¿Candidata al Congreso de Acción Popular habría sido vacunada? 🚨\n\nSe trataría de Maricarmen Alva, candidata al Congreso con el número 2 de Acción Popular.']",https://www.facebook.com/ads/archive/render_ad/?id=270013071239231&access_token,2021-04-09,2021-04-10,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '300', 'upper_bound': '399'}","[{'percentage': '1', 'region': 'Lima Region'}]","[{'percentage': '0.000188', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.10738', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000242', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.081612', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.087967', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.063599', 'age': '65+', 'gender': 'male'}, {'percentage': '0.083793', 'age': '65+', 'gender': 'female'}, {'percentage': '0.059345', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.085382', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.00035', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.089313', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.125286', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.074827', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.058187', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.082178', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000162', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000188', 'age': '55-64', 'gender': 'unknown'}]","{'lower_bound': '35000', 'upper_bound': '39999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']",True,True,300,399
